Severity,temp_f,humidity,visibility,wind_speed
2,47.64,76,10000,1.99
2,61.9,72,10000,1.99
3,60.4,69,10000,9.22
3,60.22,71,10000,1.41
2,58.05,83,10000,4.61
2,60.51,71,10000,4.61
3,59.23,69,10000,8.05
2,58.3,79,10000,9.24
2,66.13,37,10000,3.44
2,58.24,76,10000,12.66
2,62.19,67,10000,10.36
3,58.91,71,10000,4.61
2,62.92,55,10000,0.0
3,64.42,41,10000,2.17
3,58.41,76,10000,12.66
2,58.51,76,10000,12.66
2,58.23,76,10000,10.36
2,58.57,82,10000,16.11
2,59.05,77,10000,8.05
2,59.5,74,10000,8.05
2,60.76,68,10000,9.22
2,59.16,72,10000,0.0
2,60.12,73,10000,8.05
2,59.67,70,10000,9.22
2,60.3,72,10000,8.05
3,58.03,77,10000,12.66
2,67.53,25,10000,11.5
3,66.31,30,10000,11.01
2,60.51,73,10000,1.39
3,59.4,75,10000,8.05
3,60.46,70,10000,9.22
3,64.49,48,10000,6.91
2,57.85,81,10000,4.61
2,60.37,72,10000,8.05
3,57.56,73,10000,4.61
3,56.86,77,10000,4.61
2,53.76,87,10000,9.22
2,58.51,76,10000,12.66
3,60.24,72,10000,8.05
2,59.99,73,10000,8.05
2,59.31,76,10000,7.0
3,54.86,78,10000,4.61
2,59.97,69,10000,9.22
2,60.21,71,10000,9.22
2,60.78,68,10000,9.22
2,58.44,76,10000,12.66
2,58.26,77,10000,12.66
2,58.51,85,10000,16.11
2,67.75,29,10000,11.5
2,56.23,69,10000,6.91
3,58.57,72,10000,0.0
3,58.15,76,10000,10.36
3,60.42,73,10000,8.05
3,58.21,76,10000,6.91
3,59.32,75,10000,6.91
2,58.12,77,10000,12.66
3,60.31,73,10000,8.05
2,61.88,73,10000,5.99
2,58.37,76,10000,10.36
2,58.26,77,10000,12.66
2,59.74,74,10000,8.05
2,58.28,76,10000,9.71
2,58.03,76,10000,1.99
2,58.64,79,10000,8.05
2,65.61,54,10000,4.61
3,59.74,72,10000,8.05
2,59.38,77,10000,4.99
2,57.81,76,10000,4.61
3,58.1,86,10000,9.22
3,60.13,73,10000,8.05
2,58.87,75,10000,6.91
2,58.1,76,10000,10.36
3,60.04,72,10000,8.05
2,58.44,76,10000,10.36
3,67.42,33,10000,11.5
3,59.74,70,10000,1.99
3,58.03,77,10000,10.36
2,60.31,71,10000,4.61
2,59.9,72,10000,6.91
3,59.85,72,10000,8.05
3,58.59,76,10000,12.66
2,60.33,68,10000,9.22
3,60.33,73,10000,8.05
3,59.41,74,10000,6.91
2,58.95,76,10000,7.0
2,59.74,72,10000,4.61
2,59.7,75,10000,8.05
3,60.13,73,10000,8.05
2,61.25,66,10000,2.28
2,63.81,53,10000,6.91
2,59.83,78,10000,3.0
2,57.58,78,10000,7.0
2,58.51,73,10000,0.0
3,60.46,70,10000,9.22
2,59.99,69,10000,9.22
2,59.22,72,10000,8.05
3,60.98,70,10000,9.22
3,60.19,69,10000,9.22
3,59.32,72,10000,5.01
2,59.25,74,10000,6.91
2,58.12,77,10000,12.66
3,54.16,81,10000,3.44
2,60.4,68,10000,9.22
2,58.01,72,10000,8.05
2,60.51,72,10000,8.05
2,64.47,34,10000,4.05
2,52.84,82,10000,0.0
2,60.71,59,10000,0.0
3,60.3,73,10000,8.05
3,60.17,71,10000,8.05
2,66.69,25,10000,18.41
2,58.03,80,10000,9.22
3,60.01,73,10000,8.05
2,58.89,73,10000,1.99
2,61.84,72,10000,1.99
3,60.31,73,10000,8.05
3,66.56,32,10000,3.24
2,58.01,69,10000,9.22
2,56.91,71,10000,5.01
3,60.39,71,10000,8.05
2,58.03,75,10000,1.99
2,57.11,72,10000,8.05
2,58.1,78,10000,12.66
3,57.38,79,10000,6.73
3,59.54,70,10000,4.61
2,60.17,72,10000,8.05
2,60.06,73,10000,4.61
2,60.13,72,10000,8.05
2,59.14,81,10000,2.53
2,59.99,69,10000,9.22
2,58.08,78,10000,12.66
2,58.26,78,10000,9.22
2,59.41,73,10000,4.61
2,57.33,72,10000,8.05
3,60.48,73,10000,8.05
2,53.98,72,10000,4.0
3,64.33,47,10000,6.91
2,58.01,78,10000,12.66
2,66.04,43,10000,3.44
2,59.74,74,10000,8.05
3,58.17,71,10000,4.61
2,65.86,34,10000,2.48
2,61.83,73,10000,5.99
2,59.52,71,10000,9.22
3,54.86,78,10000,4.61
3,58.08,81,10000,9.22
3,67.35,33,10000,3.44
3,58.59,76,10000,12.66
3,60.04,72,10000,8.05
3,58.08,81,10000,9.22
2,65.97,42,10000,4.61
2,58.05,78,10000,12.66
3,57.54,78,10000,11.5
3,60.24,74,10000,8.05
3,59.13,73,10000,6.91
2,58.53,83,10000,16.11
2,60.12,68,10000,9.22
2,58.06,77,10000,12.66
2,59.36,75,10000,8.05
3,64.69,42,10000,4.61
