antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Clouds', 'Medium_Wind'})","frozenset({'Medium_Visibility', 'High_Temp'})",0.244,0.64,0.216,0.8852459016393442,1.3831967213114753,1.0,0.059840000000000004,3.1371428571428566,0.366451107191848,0.32335329341317365,0.6812386156648451,0.6113729508196721
"frozenset({'High_Temp', 'Medium_Wind'})","frozenset({'Medium_Visibility', 'Clouds'})",0.4,0.366,0.216,0.5399999999999999,1.4754098360655736,1.0,0.0696,1.3782608695652172,0.537037037037037,0.3927272727272727,0.2744479495268138,0.5650819672131147
frozenset({'Clouds'}),"frozenset({'Medium_Visibility', 'High_Temp', 'Medium_Wind'})",0.366,0.4,0.216,0.5901639344262295,1.4754098360655736,1.0,0.0696,1.464,0.5082369435681737,0.3927272727272727,0.3169398907103825,0.5650819672131147
"frozenset({'Medium_Visibility', 'Severity_2', 'Clouds'})",frozenset({'High_Temp'}),0.196,0.64,0.15,0.7653061224489796,1.1957908163265305,1.0,0.02456,1.5339130434782606,0.2036484245439469,0.21865889212827985,0.3480725623582765,0.4998405612244898
"frozenset({'Severity_2', 'Clouds', 'High_Temp'})",frozenset({'Medium_Visibility'}),0.15,1.0,0.15,1.0,1.0,1.0,0.0,inf,0.0,0.15000000000000002,0.0,0.575
"frozenset({'Severity_2', 'Clouds'})","frozenset({'Medium_Visibility', 'High_Temp'})",0.196,0.64,0.15,0.7653061224489796,1.1957908163265305,1.0,0.02456,1.5339130434782606,0.2036484245439469,0.21865889212827985,0.3480725623582765,0.4998405612244898
"frozenset({'Medium_Visibility', 'Clouds', 'High_Temp'})",frozenset({'Severity_3'}),0.304,0.382,0.154,0.506578947368421,1.326122898870212,1.0,0.037872,1.2524799999999998,0.3533363188535603,0.2894736842105264,0.20158405723045472,0.4548601543124827
"frozenset({'Medium_Visibility', 'Clouds', 'Severity_3'})",frozenset({'High_Temp'}),0.17,0.64,0.154,0.9058823529411764,1.415441176470588,1.0,0.04519999999999999,3.8249999999999953,0.3536222813331247,0.2347560975609756,0.7385620915032677,0.5732536764705882
"frozenset({'Medium_Visibility', 'High_Temp', 'Severity_3'})",frozenset({'Clouds'}),0.264,0.366,0.154,0.5833333333333333,1.593806921675774,1.0,0.057375999999999996,1.5215999999999998,0.5062111801242236,0.3235294117647059,0.34279705573080954,0.5020491803278688
"frozenset({'Clouds', 'High_Temp', 'Severity_3'})",frozenset({'Medium_Visibility'}),0.154,1.0,0.154,1.0,1.0,1.0,0.0,inf,0.0,0.15400000000000003,0.0,0.577
"frozenset({'Clouds', 'High_Temp'})","frozenset({'Medium_Visibility', 'Severity_3'})",0.304,0.382,0.154,0.506578947368421,1.326122898870212,1.0,0.037872,1.2524799999999998,0.3533363188535603,0.2894736842105264,0.20158405723045472,0.4548601543124827
"frozenset({'Clouds', 'Severity_3'})","frozenset({'Medium_Visibility', 'High_Temp'})",0.17,0.64,0.154,0.9058823529411764,1.415441176470588,1.0,0.04519999999999999,3.8249999999999953,0.3536222813331247,0.2347560975609756,0.7385620915032677,0.5732536764705882
"frozenset({'High_Temp', 'Severity_3'})","frozenset({'Medium_Visibility', 'Clouds'})",0.264,0.366,0.154,0.5833333333333333,1.593806921675774,1.0,0.057375999999999996,1.5215999999999998,0.5062111801242236,0.3235294117647059,0.34279705573080954,0.5020491803278688
"frozenset({'Severity_2', 'Clouds', 'High_Temp'})",frozenset({'Medium_Wind'}),0.15,0.518,0.09,0.6,1.1583011583011582,1.0,0.012299999999999991,1.2049999999999998,0.1607843137254901,0.1557093425605536,0.17012448132780075,0.38687258687258685
"frozenset({'Severity_2', 'Clouds', 'Medium_Wind'})",frozenset({'High_Temp'}),0.11,0.64,0.09,0.8181818181818181,1.2784090909090908,1.0,0.019599999999999992,1.9799999999999993,0.24469413233458168,0.13636363636363635,0.49494949494949475,0.47940340909090906
"frozenset({'Clouds', 'High_Temp', 'Severity_3'})",frozenset({'Medium_Wind'}),0.154,0.518,0.126,0.8181818181818182,1.5795015795015797,1.0,0.046228000000000005,2.6510000000000007,0.4336748095613345,0.23076923076923075,0.6227838551490005,0.5307125307125308
"frozenset({'Clouds', 'High_Temp', 'Medium_Wind'})",frozenset({'Severity_3'}),0.216,0.382,0.126,0.5833333333333334,1.5270506108202444,1.0,0.043488,1.4832,0.4402332361516034,0.2669491525423729,0.32578209277238407,0.4565881326352531
"frozenset({'Clouds', 'Severity_3', 'Medium_Wind'})",frozenset({'High_Temp'}),0.134,0.64,0.126,0.9402985074626865,1.4692164179104477,1.0,0.04024,6.029999999999993,0.368781846841893,0.19444444444444445,0.8341625207296848,0.5685867537313433
"frozenset({'High_Temp', 'Severity_3', 'Medium_Wind'})",frozenset({'Clouds'}),0.182,0.366,0.126,0.6923076923076923,1.8915510718789408,1.0,0.05938800000000001,2.0604999999999998,0.5762021189894051,0.2985781990521327,0.514680902693521,0.5182849936948297
"frozenset({'Clouds', 'Severity_3'})","frozenset({'High_Temp', 'Medium_Wind'})",0.17,0.4,0.126,0.7411764705882352,1.8529411764705879,1.0,0.057999999999999996,2.3181818181818175,0.5545993497800726,0.28378378378378377,0.568627450980392,0.5280882352941176
"frozenset({'Clouds', 'Medium_Wind'})","frozenset({'High_Temp', 'Severity_3'})",0.244,0.264,0.126,0.5163934426229508,1.9560357675111772,1.0,0.061584,1.5218983050847459,0.6465104560342655,0.3298429319371728,0.3429258731290093,0.49683308494783907
"frozenset({'Severity_3', 'Medium_Wind'})","frozenset({'Clouds', 'High_Temp'})",0.218,0.304,0.126,0.5779816513761468,1.9012554321583777,1.0,0.059728,1.6492173913043475,0.6061787033654041,0.3181818181818182,0.3936517979542339,0.49622766779333655
"frozenset({'Medium_Visibility', 'Clouds', 'Low_Wind'})",frozenset({'Severity_2'}),0.114,0.616,0.084,0.736842105263158,1.1961722488038278,1.0,0.01377600000000001,1.4592000000000005,0.1851015801354403,0.13003095975232198,0.3146929824561405,0.43660287081339716
"frozenset({'Severity_2', 'Clouds', 'Low_Wind'})",frozenset({'Medium_Visibility'}),0.084,1.0,0.084,1.0,1.0,1.0,0.0,inf,0.0,0.084,0.0,0.542
"frozenset({'Clouds', 'Low_Wind'})","frozenset({'Medium_Visibility', 'Severity_2'})",0.114,0.616,0.084,0.736842105263158,1.1961722488038278,1.0,0.01377600000000001,1.4592000000000005,0.1851015801354403,0.13003095975232198,0.3146929824561405,0.43660287081339716
"frozenset({'Medium_Visibility', 'Severity_2', 'Clouds'})",frozenset({'Medium_Wind'}),0.196,0.518,0.11,0.5612244897959183,1.0834449609959813,1.0,0.008471999999999993,1.0985116279069767,0.09579375848032556,0.18211920529801326,0.08967736472182222,0.38678985107556535
"frozenset({'Severity_2', 'Clouds', 'Medium_Wind'})",frozenset({'Medium_Visibility'}),0.11,1.0,0.11,1.0,1.0,1.0,0.0,inf,0.0,0.11,0.0,0.555
"frozenset({'Severity_2', 'Clouds'})","frozenset({'Medium_Visibility', 'Medium_Wind'})",0.196,0.518,0.11,0.5612244897959183,1.0834449609959813,1.0,0.008471999999999993,1.0985116279069767,0.09579375848032556,0.18211920529801326,0.08967736472182222,0.38678985107556535
"frozenset({'Medium_Visibility', 'Clouds', 'Severity_3'})",frozenset({'Medium_Wind'}),0.17,0.518,0.134,0.788235294117647,1.5216897569838745,1.0,0.045939999999999995,2.2761111111111108,0.4130552058982197,0.24187725631768953,0.5606541371735415,0.5234612764024529
"frozenset({'Medium_Visibility', 'Clouds', 'Medium_Wind'})",frozenset({'Severity_3'}),0.244,0.382,0.134,0.5491803278688525,1.437644837353017,1.0,0.04079200000000001,1.3708363636363639,0.4026691937139699,0.2723577235772358,0.2705183298848746,0.4499828340914943
"frozenset({'Medium_Visibility', 'Severity_3', 'Medium_Wind'})",frozenset({'Clouds'}),0.218,0.366,0.134,0.6146788990825689,1.679450543941445,1.0,0.05421200000000001,1.6453809523809528,0.517349314807039,0.2977777777777778,0.39223801117124435,0.4903995588309019
"frozenset({'Clouds', 'Severity_3', 'Medium_Wind'})",frozenset({'Medium_Visibility'}),0.134,1.0,0.134,1.0,1.0,1.0,0.0,inf,0.0,0.13400000000000004,0.0,0.567
"frozenset({'Clouds', 'Severity_3'})","frozenset({'Medium_Visibility', 'Medium_Wind'})",0.17,0.518,0.134,0.788235294117647,1.5216897569838745,1.0,0.045939999999999995,2.2761111111111108,0.4130552058982197,0.24187725631768953,0.5606541371735415,0.5234612764024529
"frozenset({'Clouds', 'Medium_Wind'})","frozenset({'Medium_Visibility', 'Severity_3'})",0.244,0.382,0.134,0.5491803278688525,1.437644837353017,1.0,0.04079200000000001,1.3708363636363639,0.4026691937139699,0.2723577235772358,0.2705183298848746,0.4499828340914943
"frozenset({'Severity_3', 'Medium_Wind'})","frozenset({'Medium_Visibility', 'Clouds'})",0.218,0.366,0.134,0.6146788990825689,1.679450543941445,1.0,0.05421200000000001,1.6453809523809528,0.517349314807039,0.2977777777777778,0.39223801117124435,0.4903995588309019
