Start_Lat,Start_Lng,Start_Time,Severity,lat,lon,weather_main,weather_desc,temp_f,humidity,visibility,wind_speed,rain_1h
38.609013,-121.270859,2017-01-21 18:39:39,2,38.609013,-121.270859,Clear,clear sky,58.59,76,10000,10.36,0
33.987499,-118.13755,2016-07-17 01:57:32,3,33.987499,-118.13755,Clear,clear sky,65.48,43,10000,4.61,0
38.036194,-121.969917,2016-03-29 12:45:47,2,38.036194,-121.969917,Clear,clear sky,59.32,72,10000,5.01,0
37.50425,-121.933205,2016-06-04 20:06:08,3,37.50425,-121.933205,Clear,clear sky,60.71,70,10000,8.05,0
37.752502,-122.403008,2016-03-25 18:48:31,2,37.752502,-122.403008,Clouds,scattered clouds,59.23,75,10000,8.05,0
33.872032,-117.665222,2016-07-15 18:45:21,2,33.872032,-117.665222,Clear,clear sky,66.69,36,10000,1.01,0
37.701576,-121.872177,2016-09-14 12:44:39,3,37.701576,-121.872177,Clear,clear sky,58.91,71,10000,4.61,0
38.630802,-121.216919,2016-06-07 19:54:46,2,38.630802,-121.216919,Clear,clear sky,58.59,77,10000,10.36,0
37.339455,-121.852043,2016-09-07 13:46:46,2,37.339455,-121.852043,Clouds,scattered clouds,60.78,68,10000,9.22,0
37.162212,-121.983818,2016-04-22 18:03:09,2,37.162212,-121.983818,Clouds,overcast clouds,57.07,71,10000,4.0,0
37.936695,-121.297684,2016-04-01 19:57:40,2,37.936695,-121.297684,Clear,clear sky,58.24,82,10000,9.22,0
38.568787,-121.330902,2016-04-19 12:21:43,2,38.568787,-121.330902,Clear,clear sky,58.62,76,10000,12.66,0
37.385822,-121.976852,2016-07-25 12:51:18,2,37.385822,-121.976852,Clouds,scattered clouds,60.75,70,10000,9.22,0
38.455986,-121.405205,2016-09-30 09:50:44,2,38.455986,-121.405205,Clear,clear sky,58.42,77,10000,12.66,0
38.017952,-121.894058,2016-10-07 23:04:16,2,38.017952,-121.894058,Clear,clear sky,58.98,72,10000,0.0,0
37.143131,-122.131905,2016-09-22 09:30:49,2,37.143131,-122.131905,Clouds,overcast clouds,58.44,77,10000,4.36,0
38.684624,-123.426376,2016-06-29 01:23:20,2,38.684624,-123.426376,Clear,clear sky,54.37,87,10000,6.11,0
38.598305,-121.415367,2016-12-23 22:17:56,2,38.598305,-121.415367,Clear,clear sky,58.46,76,10000,12.66,0
